Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	VSenseBatt	GSR	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z
265026.8249511719	-6.228915662650603	0.1325301204819277	7.795180722891566	4064.468864468864	170.9518599562363	63.07692307692307	-112.3076923076923	-38.46153846153846	-0.9890909090909091	0.3136363636363637	-0.09591836734693879
265046.3562011719	-6.253012048192772	0.1204819277108434	7.807228915662651	4051.282051282051	170.9518599562363	81.53846153846153	-80	-33.84615384615384	-0.9881818181818182	0.3072727272727273	-0.0979591836734694
265065.8874511719	-6.265060240963856	0.1204819277108434	7.807228915662651	4036.630036630037	170.9518599562363	52.30769230769231	-67.69230769230768	-41.53846153846153	-0.98	0.3218181818181818	-0.0989795918367347
265085.4187011719	-6.289156626506024	0.1445783132530121	7.795180722891566	4054.212454212454	357.5259206292456	46.15384615384615	-90.76923076923076	-47.69230769230769	-0.99	0.3090909090909091	-0.1
265104.9499511719	-6.253012048192772	0.1445783132530121	7.795180722891566	4058.608058608058	357.5259206292456	66.15384615384615	-110.7692307692308	-12.30769230769231	-0.9890909090909091	0.3081818181818182	-0.1
265124.4812011719	-6.27710843373494	0.1204819277108434	7.807228915662651	4048.351648351648	357.5259206292456	46.15384615384615	-83.07692307692307	-43.07692307692307	-0.9818181818181818	0.3209090909090909	-0.09591836734693879
265144.0124511719	-6.253012048192772	0.1325301204819277	7.795180722891566	4043.956043956044	357.5259206292456	49.23076923076923	-104.6153846153846	-24.61538461538461	-0.9863636363636363	0.3081818181818182	-0.09693877551020409
265163.5437011719	-6.265060240963856	0.1325301204819277	7.795180722891566	4041.025641025641	357.5259206292456	55.38461538461538	-72.30769230769231	-21.53846153846154	-0.9854545454545455	0.3190909090909091	-0.09591836734693879
265183.0749511719	-6.253012048192772	0.1445783132530121	7.795180722891566	4064.468864468864	356.6333808844507	55.38461538461538	-75.38461538461537	-12.30769230769231	-0.99	0.3190909090909091	-0.09591836734693879
265202.6062011719	-6.265060240963856	0.1325301204819277	7.795180722891566	4046.886446886447	356.6333808844507	58.46153846153845	-59.99999999999999	-23.07692307692307	-0.9890909090909091	0.3072727272727273	-0.1010204081632653
265222.1374511719	-6.265060240963856	0.1325301204819277	7.795180722891566	4033.699633699634	356.6333808844507	66.15384615384615	-89.23076923076923	-52.30769230769231	-0.9845454545454545	0.3181818181818182	-0.0979591836734694
265241.6687011719	-6.265060240963856	0.1204819277108434	7.807228915662651	4055.677655677655	356.6333808844507	56.92307692307692	-86.15384615384615	-36.92307692307692	-0.9863636363636363	0.3145454545454546	-0.09693877551020409
265261.1999511719	-6.265060240963856	0.1204819277108434	7.807228915662651	4051.282051282051	356.6333808844507	75.38461538461537	-104.6153846153846	-44.61538461538461	-0.9827272727272727	0.3081818181818182	-0.0989795918367347
265280.7312011719	-6.253012048192772	0.1325301204819277	7.807228915662651	4060.07326007326	383.2592365476007	58.46153846153845	-83.07692307692307	-30.76923076923077	-0.9790909090909091	0.3309090909090909	-0.09693877551020409
